2024-07-27 00:02:42.4088|0|DEBUG|UserRegistration.Program|init main |url: |action: 
2024-07-27 00:02:43.5143|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7087 |url: |action: 
2024-07-27 00:02:43.5284|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5141 |url: |action: 
2024-07-27 00:02:43.5341|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-07-27 00:02:43.5341|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-07-27 00:02:43.5341|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\junya\source\repos\UserRegistration\UserRegistration |url: |action: 
2024-07-27 00:02:44.0230|1|DEBUG|UserRegistration.Controllers.HomeController|NLog injected into InfoController |url: https://localhost/|action: Index
2024-07-27 00:02:44.0836|3|WARN|Microsoft.WebTools.BrowserLink.Net.BrowserLinkMiddleware|Unable to configure Browser Link script injection on the response.  |url: https://localhost/|action: Index
2024-07-27 00:02:44.0836|3|WARN|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Unable to configure browser refresh script injection on the response. Consider manually adding '<script src="/_framework/aspnetcore-browser-refresh.js"></script>' to the body of the page. |url: https://localhost/|action: Index
2024-07-27 00:02:45.1055|1|DEBUG|UserRegistration.Controllers.HomeController|NLog injected into InfoController |url: https://localhost/Home/Register|action: Register
2024-07-27 00:02:45.1699|3|WARN|Microsoft.WebTools.BrowserLink.Net.BrowserLinkMiddleware|Unable to configure Browser Link script injection on the response.  |url: https://localhost/Home/Register|action: Register
2024-07-27 00:02:45.1699|3|WARN|Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserRefreshMiddleware|Unable to configure browser refresh script injection on the response. Consider manually adding '<script src="/_framework/aspnetcore-browser-refresh.js"></script>' to the body of the page. |url: https://localhost/Home/Register|action: Register
2024-07-27 00:03:00.8530|1|DEBUG|UserRegistration.Controllers.HomeController|NLog injected into InfoController |url: https://localhost/Home/Register|action: Register
2024-07-27 00:03:00.8876|3|WARN|Microsoft.WebTools.BrowserLink.Net.BrowserLinkMiddleware|Unable to configure Browser Link script injection on the response.  |url: https://localhost/Home/Register|action: Register
